AAA^Anaa Airport (Anaa)
AAC^El Arish International Airport (El Arish)
AAE^Annaba Rabah Bitat Airport (Annaba)
AAL^Aalborg Airport (Aalborg)
AAM^Malamala Airport (Malamala)
AAN^Al Ain International Airport (Al Ain)
AAO^Anaco Airport (Anaco)
AAP^Aji Pangeran Tumenggung Pranoto International Airport (Samarinda)
AAQ^Anapa Vityazevo Airport (Krasnyi Kurgan)
AAR^Aarhus Airport (Aarhus)
AAT^Altay Xuedu Airport (Altay)
AAV^Allah Valley Airport (Surallah)
AAX^Romeu Zema Airport (Araxá)
AAY^Al Ghaydah International Airport (Al Ghaydah)
ABA^Abakan International Airport (Abakan)
ABB^Asaba International Airport (Asaba)
ABC^Albacete Airport / Los Llanos Air Base (Albacete)
ABD^Abadan Ayatollah Jami International Airport (Abadan)
ABE^Lehigh Valley International Airport (Allentown/Bethlehem)
ABI^Abilene Regional Airport (Abilene)
ABJ^Félix-Houphouët-Boigny International Airport (Abidjan)
ABK^Kebri Dahar Airport (Kebri Dahar)
ABL^Ambler Airport (Ambler)
ABQ^Albuquerque International Sunport (Albuquerque)
ABR^Aberdeen Regional Airport (Aberdeen)
ABS^Abu Simbel Airport (Abu Simbel)
ABT^King Saud Bin Abdulaziz (Al Baha) Airport (Al-Baha)
ABV^Nnamdi Azikiwe International Airport (Abuja)
ABX^Albury Airport (East Albury)
ABY^Southwest Georgia Regional Airport (Albany)
ABZ^Aberdeen International Airport (Aberdeen)
ACA^General Juan N. Álvarez International Airport (Acapulco)
ACC^Kotoka International Airport (Accra)
ACE^César Manrique-Lanzarote Airport (San Bartolomé)
ACH^Sankt Gallen Altenrhein Airport (St. Gallen)
ACI^Alderney Airport (Saint Anne)
ACJ^Anuradhapura Airport (Anuradhapura)
ACK^Nantucket Memorial Airport (Nantucket)
ACN^Ciudad Acuña International Airport (Ciudad Acuña)
ACS^Achinsk Airport (Achinsk)
ACT^Waco Regional Airport (Waco)
ACV^California Redwood Coast-Humboldt County Airport (Arcata/Eureka)
ACX^Xingyi Wanfenglin Airport (Xingyi)
ACY^Atlantic City International Airport (Atlantic City)
ACZ^Zabol Airport (Zabol)
ADA^Adana Şakirpaşa Airport (Seyhan)
ADB^Adnan Menderes International Airport (Gaziemir)
ADD^Addis Ababa Bole International Airport (Addis Ababa)
ADE^Aden International Airport (Aden)
ADF^Adıyaman Airport (Adıyaman)
ADI^Arandis Airport (Arandis)
ADJ^Marka International (Amman Civil) Airport (Amman)
ADK^Adak Airport (Adak)
ADL^Adelaide International Airport (Adelaide)
ADP^Ampara Airport (Ampara)
ADQ^Kodiak Airport (Kodiak)
ADT^Ada Regional Airport (Ada)
ADU^Ardabil Airport (Ardabil)
ADW^Joint Base Andrews (Camp Springs)
ADZ^Gustavo Rojas Pinilla International Airport (San Andrés)
AEB^Baise (Bose) Bama Airport (Baise (Tianyang))
AEG^Aek Godang Airport (Padang Sidempuan)
AEH^Abeche Airport (Abeche)
AEP^Aeroparque Jorge Newbery (Buenos Aires)
AER^Sochi International Airport (Sochi)
AES^Ålesund Airport (Ålesund)
AEU^Abu Musa Island Airport (Abu Musa)
AEX^Alexandria International Airport (Alexandria)
AEY^Akureyri International Airport (Akureyri)
AFA^Suboficial Ay Santiago Germano Airport (San Rafael)
AFL^Piloto Osvaldo Marques Dias Airport (Alta Floresta)
AFW^Perot Field/Fort Worth Alliance Airport (Fort Worth)
AFY^Afyon Air Base (Afyonkarahisar)
AFZ^Sabzevar National Airport (Sabzevar)
AGA^Al Massira Airport (Agadir (Temsia))
AGB^Augsburg Airport (Augsburg)
AGC^Allegheny County Airport (Pittsburgh)
AGF^Agen La Garenne airport (Agen)
AGH^Ängelholm-Helsingborg Airport (Ängelholm)
AGP^Málaga-Costa del Sol Airport (Málaga)
AGR^Agra Airport / Agra Air Force Station (Agra)
AGS^Augusta Regional At Bush Field (Augusta)
AGT^Guaraní International Airport (Ciudad del Este)
AGU^Aguascalientes International Airport (Aguascalientes)
AGV^Oswaldo Guevara Mujica Airport (Acarigua)
AGX^Agatti Airport (Agatti)
AGZ^Aggeneys Airport (Aggeneys)
AHA^Maa Mahamaya Airport (Ambikapur)
AHB^Abha International Airport (Abha)
AHE^Ahe Airport (Ahe Atoll)
AHJ^Hongyuan Airport (Ngawa (Hongyuan))
AHN^Athens Ben Epps Airport (Athens)
AHO^Alghero-Fertilia Airport (Alghero)
AHU^Cherif Al Idrissi Airport (Al Hoceima)
AIA^Alliance Municipal Airport (Alliance)
AIN^Wainwright Airport (Wainwright)
AJA^Ajaccio Napoléon Bonaparte airport (Ajaccio)
AJF^Al-Jawf International Airport (Al-Jawf)
AJI^Ağrı Airport (Ağrı)
AJL^Lengpui Airport (Aizawl (Lengpui))
AJN^Ouani Airport (Ouani)
AJR^Arvidsjaur Airport (Arvidsjaur)
AJU^Aracaju - Santa Maria Airport (Aracaju)
AJY^Mano Dayak International Airport (Agadez)
AKC^Akron Fulton International Airport (Akron)
AKD^Akola Airport (Akola)
AKF^Kufra Airport (Kufra)
AKH^Prince Sultan Air Base (Al Kharj)
AKJ^Asahikawa Airport (Higashikagura)
AKL^Auckland International Airport (Auckland)
AKN^King Salmon Airport (King Salmon)
AKP^Anaktuvuk Pass Airport (Anaktuvuk Pass)
AKR^Akure Airport (Akure)
AKT^RAF Akrotiri (Akrotiri)
AKU^Aksu Hongqipo Airport (Aksu (Onsu))
AKW^Aghajari Airport (Omidiyeh)
AKX^Aktobe International Airport (Aktobe)
AKY^Sittwe Airport (Sittwe)
ALA^Almaty International Airport (Almaty)
ALB^Albany International Airport (Albany)
ALC^Alicante-Elche Miguel Hernández Airport (Alicante)
ALF^Alta Airport (Alta)
ALG^Houari Boumediene Airport (Algiers)
ALH^Albany Airport (Albany)
ALI^Alice International Airport (Alice)
ALJ^Alexander Bay Airport (Alexander Bay)
ALM^Alamogordo White Sands Regional Airport (Alamogordo)
ALN^St Louis Regional Airport (Alton/St Louis)
ALO^Waterloo Regional Airport (Waterloo)
ALP^Aleppo International Airport (Aleppo)
ALR^Alexandra Aerodrome (Alexandra)
ALS^San Luis Valley Regional Airport/Bergman Field (Alamosa)
ALW^Walla Walla Regional Airport (Walla Walla)
AMA^Rick Husband Amarillo International Airport (Amarillo)
AMD^Sardar Vallabh Patel International Airport (Ahmedabad)
AMH^Arba Minch Airport (Arba Minch)
AMM^Queen Alia International Airport (Amman)
AMQ^Pattimura International Airport (Ambon)
AMS^Amsterdam Airport Schiphol (Amsterdam)
AMV^Amderma Airport (Amderma)
AMZ^Ardmore Airport (Manurewa)
ANB^Anniston Regional Airport (Anniston)
ANC^Ted Stevens Anchorage International Airport (Anchorage)
AND^Anderson Regional Airport (Anderson)
ANE^Angers Marcé airport (Angers)
ANF^Andrés Sabella Gálvez International Airport (Antofagasta)
ANG^Angoulême Brie-Champniers airport (Angoulême)
ANI^Aniak Airport (Aniak)
ANK^Etimesgut Air Base (Ankara)
ANM^Antsirabe Airport (Antsirabe)
ANN^Annette Island Airport (Metlakatla)
ANR^Antwerp International Airport (Deurne) (Antwerp)
ANU^V. C. Bird International Airport (Osbourn)
ANV^Anvik Airport (Anvik)
AOC^Leipzig–Altenburg Airport (Nobitz)
AOE^Hasan Polatkan Airport (Eskişehir)
AOG^Anshan Teng'ao Airport / Anshan Air Base (Anshan)
AOI^Marche Airport (Falconara Marittima (AN))
AOJ^Aomori Airport (Aomori)
AOK^Karpathos Airport (Karpathos Island)
AOL^Paso De Los Libres Airport (Paso de los Libres)
AOO^Altoona Blair County Airport (Altoona)
AOR^Sultan Abdul Halim Airport (Alor Satar)
AOT^Aosta Corrado Gex Airport (Saint-Christophe (AO))
APA^Centennial Airport (Denver)
APF^Naples Municipal Airport (Naples)
APG^Phillips Army Air Field (Aberdeen)
API^Gomez Nino Apiay Air Base (Apiay)
APJ^Ali Pulan Airport (Burang Town)
APL^Nampula Airport (Nampula)
APN^Alpena County Regional Airport (Alpena)
APO^Antonio Roldán Betancur Airport (Carepa)
APW^Faleolo International Airport (Apia)
APZ^Zapala Airport (Zapala)
AQA^Araraquara Airport (Araraquara)
AQG^Anqing Tianzhushan Airport / Anqing North Air Base (Anqing)
AQI^Qaisumah–Hafar Al-Batin International Airport (Qaisumah)
AQJ^King Hussein International Airport (Aqaba)
AQP^Rodríguez Ballón International Airport (Arequipa)
ARA^Acadiana Regional Airport (New Iberia)
ARC^Arctic Village Airport (Arctic Village)
ARE^Antonio Nery Juarbe Pol Airport (Arecibo)
ARH^Talagi Airport (Archangelsk)
ARI^Chacalluta International Airport (Arica)
ARK^Arusha Airport (Arusha)
ARM^Armidale Airport (Armidale)
ARN^Stockholm-Arlanda Airport (Stockholm)
ART^Watertown International Airport (Watertown)
ARU^Araçatuba Airport (Araçatuba)
ARW^Arad International Airport (Arad)
ARX^Aracati Dragão do Mar Regional Airport (Aracati)
ARY^Ararat Airport (Ararat)
ASA^Assab International Airport (Assab)
ASB^Ashgabat International Airport (Ashgabat)
ASD^Andros Town Airport (Andros Town)
ASE^Aspen-Pitkin County Airport (Sardy Field) (Aspen)
ASF^Astrakhan Narimanovo Boris M. Kustodiev International Airport (Astrakhan)
ASI^RAF Ascension Island (Cat Hill)
ASJ^Amami Airport (Amami)
ASK^Yamoussoukro International Airport (Yamoussoukro)
ASM^Asmara International Airport (Asmara)
ASO^Asosa Airport (Asosa)
ASP^Alice Springs Airport (Alice Springs)
ASR^Kayseri Erkilet International Airport (Kayseri)
AST^Astoria Regional Airport (Astoria)
ASU^Silvio Pettirossi International Airport (Asunción)
ASV^Amboseli Airport (Ol Tukai)
ASW^Aswan International Airport (Aswan)
ATA^Comandante FAP German Arias Graziani Airport (Anta)
ATC^Arthur's Town Airport (Arthur's Town)
ATF^Chachoán Regional Airport (Ambato)
ATG^Minhas Air Base (Kamra)
ATH^Athens Eleftherios Venizelos International Airport (Spata-Artemida)
ATK^Atqasuk Edward Burnell Sr Memorial Airport (Atqasuk)
ATL^Hartsfield Jackson Atlanta International Airport (Atlanta)
ATM^Altamira Interstate Airport (Altamira)
ATQ^Sri Guru Ram Das Ji International Airport (Amritsar)
ATR^Atar International Airport (Atar)
ATW^Appleton International Airport (Appleton)
ATY^Watertown Regional Airport (Watertown)
ATZ^Asyut International Airport (Asyut)
AUA^Queen Beatrix International Airport (Oranjestad)
AUC^Santiago Perez Airport (Arauca)
AUF^Auxerre Branches airport (Auxerre)
AUG^Augusta State Airport (Augusta)
AUH^Zayed International Airport (Abu Dhabi)
AUQ^Hiva Oa-Atuona Airport (Hiva Oa Island)
AUR^Aurillac airport (Aurillac)
AUS^Austin Bergstrom International Airport (Austin)
AUW^Wausau Downtown Airport (Wausau)
AUX^Araguaína Airport (Araguaína)
AVA^Anshun Huangguoshu Airport (Anshun (Xixiu))
AVB^Aviano Air Base (Aviano (PN))
AVI^Máximo Gómez Airport (Ciro Redondo)
AVK^Arvaikheer Airport (Arvaikheer)
AVL^Asheville Regional Airport (Asheville)
AVN^Avignon Caumont airport (Avignon)
AVP^Wilkes-Barre/Scranton International Airport (Wilkes-Barre/Scranton)
AVV^Melbourne Avalon International Airport (Geelong/Melbourne)
AWA^Hawassa International Airport (Hawassa)
AWK^Wake Island Airfield (Wake Island)
AWZ^Qasem Soleimani International Airport (Ahvaz)
AXA^Clayton J. Lloyd International Airport (The Valley)
AXD^Alexandroupoli Democritus Airport (Alexandroupolis)
AXF^Alxa Left Banner Bayanhot Airport (Bayanhot)
AXJ^Amakusa Airport (Amakusa)
AXK^Ataq Airport (Ataq)
AXM^El Eden Airport (Armenia)
AXN^Chandler Field (Alexandria)
AXP^Spring Point Airport (Spring Point)
AXR^Arutua Airport ()
AXT^Akita Airport (Akita)
AXU^Axum Airport (Axum)
AYJ^Maharshi Valmiki International Airport (Faizabad)
AYO^Aeropuerto Nacional Juan de Ayolas (Ayolas)
AYP^Air Force Colonel Alfredo Mendivil Duarte Airport (Ayacucho)
